date,id,amount_manner,location,location_id,observer_name,observer_id,validation,page
2024-05-17 11:55,309958079,2,Webbekom (Dg) (Vlaams-Brabant),27700,Anthony Hollebeke,63875,goedgekeurd (automatische validatie),254
2024-05-17 11:53,309958083,1,Diest - Halve Maan (Vlaams-Brabant),92164,Anthony Hollebeke,63875,goedgekeurd (automatische validatie),254
2024-05-17 11:39,310155921,1,Deerlijk - De Bonte Os (West-Vlaanderen),623755,wim steelandt,111736,goedgekeurd (automatische validatie),254
2024-05-17 09:49,309938598,"1  roepend, gehoord",Kalkense Meersen - Springels (Oost-Vlaanderen),188946,tseef,40072,onbekend,254
2024-05-17 09:19,309992233,1  overvliegend,Buggenhout (Oost-Vlaanderen),24137,Jasper Verreydt,146743,onbekend,254
2024-05-17 09:18,309942028,2,Pécrot (Etang) (Brabant Wallon),42907,Luc Claes,91488,goedgekeurd (automatische validatie),254
2024-05-17 08:34,310280349,"1  roepend, gehoord",Leuven - Centrum (Vlaams-Brabant),30913,Mark Depauw,99452,goedgekeurd (automatische validatie),254
2024-05-17 08:24,310180321,"1  adult, overvliegend, gezien",Brasschaat - Het Leeg (Antwerpen),29289,Lieve Van Beirendonck,190862,onbekend,254
2024-05-17 07:53,309915594,2,IPA_701 Broek (réserve naturelle Natagora ) – Uccle (Bruxelles / Brussel),676576,Bosco Darimont,166449,onbekend,254
2024-05-17 07:52,309968275,"4  adult, gezien",Groot-Bijgaarden (Dg) (Vlaams-Brabant),23241,Fre Rampelbergh,49037,goedgekeurd (automatische validatie),254
2024-05-17 07:52,309946154,1,Brempt - Weterbeek (Vlaams-Brabant),107793,katelein Goderis,98260,goedgekeurd (automatische validatie),254
2024-05-17 07:36,310047036,1,Zwijndrecht (Antwerpen),23282,Anton Cnudde,132941,goedgekeurd (automatische validatie),254
2024-05-17 07:20,309899997,"1  adult, overvliegend, gezien en gehoord",Zoersel (Halle) - Kasteelpark/NALAH (Antwerpen),122094,Lieve Van Beirendonck,190862,onbekend,254
2024-05-17 07:00,309923743,"8  overvliegend oost, gezien en gehoord",Godarville (Hainaut),44029,Florian delooz,97629,onbekend,254
2024-05-17 06:38,310242047,1  roepend,Tombeek - Laanvallei (Vlaams-Brabant),28475,Frederik Fluyt,40236,goedgekeurd (automatische validatie),254
2024-05-17 06:01,309895711,1  gehoord,Haine - tronçon de Mons à Nimy (Hainaut),106185,Vincent Swinnen,45835,goedgekeurd (automatische validatie),254
2024-05-17,327701702,2,Antwerpen - Statiekwartier (Dg) (Antwerpen),27160,Jef Tegenbos,114880,goedgekeurd (automatische validatie),254
2024-05-17,310019454,1,Blaasveld (Dg) (Antwerpen),27200,Wim Van den Bossche,40394,goedgekeurd (automatische validatie),254
2024-05-17,310015564,2,Willebroek - Broek Denaeyer (Groendomein provincie Antwerpen - regio Mechelen) (Antwerpen),29065,Wim Van den Bossche,40394,goedgekeurd (automatische validatie),254
2024-05-17,310015131,2,Heindonk - Hazewinkel (Antwerpen),29069,Wim Van den Bossche,40394,goedgekeurd (automatische validatie),254
2024-05-17,310014305,1,Blaasveld (Dg) (Antwerpen),27200,Wim Van den Bossche,40394,goedgekeurd (automatische validatie),255
2024-05-17,310012031,2,Blaasveld (Dg) (Antwerpen),27200,Wim Van den Bossche,40394,goedgekeurd (automatische validatie),255
2024-05-17,310011900,1,Willebroek (Antwerpen),23354,Wim Van den Bossche,40394,goedgekeurd (automatische validatie),255
2024-05-17,310008489,1,Limal (Brabant Wallon),41806,Th. Meeus,108790,goedgekeurd (automatische validatie),255
2024-05-16 20:43,309899712,11  overvliegend,Hingene - Nattenhaasdonk (Antwerpen),29118,Lauren Van Nimmen,204480,onbekend,255
2024-05-16 19:33,310638866,2  overvliegend,Mechelen (Antwerpen),23349,Pieter Blondé,40046,onbekend,255
2024-05-16 18:34,309861401,2  gezien en gehoord,Jette - Parc Roi Baudouin/Koning Boudewijnpark - Phase1/Fase1 (Bruxelles / Brussel),251527,adriaan seynaeve,40589,goedgekeurd (automatische validatie),255
2024-05-16 18:33,309861408,"1  adult in broedbiotoop, gehoord",Jette - Parc Roi Baudouin/Koning Boudewijnpark - Phase1/Fase1 (Bruxelles / Brussel),251527,adriaan seynaeve,40589,goedgekeurd (automatische validatie),255
2024-05-16 17:51,309920625,"1  overvliegend, gezien en gehoord",Leuven - Groot Begijnhof (Vlaams-Brabant),613777,Martine Gerits,114293,onbekend,255
2024-05-16 13:07,310011609,1,Harelbeke/Deerlijk - De Gavers (Provinciedomein) (West-Vlaanderen),31857,Bram Impens,906112,goedgekeurd (automatische validatie),255
2024-05-16 12:11,309941740,2  overvliegend,Bissegem (Dg) (West-Vlaanderen),27349,Tom Gheskiere,40363,onbekend,255
2024-05-16 12:07,309817428,1,Bruxelles/Brussel - Louise/Louisa (Dg) (Bruxelles / Brussel),27816,Roland de Schaetzen,69954,goedgekeurd (automatische validatie),255
2024-05-16 11:54,309898792,3,Schelle - Boerenhoek/Oude Bosstraat (Antwerpen),84194,Paelinckx Marleentje,79609,goedgekeurd (met bewijs),255
2024-05-16 11:14,309884501,1,Ranst - Zevenbergen (Antwerpen),24535,Bert Vereyken,83517,goedgekeurd (automatische validatie),255
2024-05-16 10:19,309794221,9,Sint-Pieters-Woluwe/Woluwe-Saint-Pierre - Parc de Woluwe (Bruxelles / Brussel),72817,Denis van der Elst,66921,goedgekeurd (automatische validatie),255
2024-05-16 09:35,309779692,2,Kapelle-op-den-Bos (Vlaams-Brabant),91752,Catherine Aerts,268984,goedgekeurd (automatische validatie),255
2024-05-16 08:03,309878194,"1  adult, foeragerend, gezien en gehoord",Brasschaat (Antwerpen),23366,Geert Steel,161301,goedgekeurd (met bewijs),255
2024-05-16,327701622,1,Antwerpen - Statiekwartier (Dg) (Antwerpen),27160,Jef Tegenbos,114880,goedgekeurd (automatische validatie),255
2024-05-16,311015030,1,Willebroek (Antwerpen),23354,Wim Van den Bossche,40394,goedgekeurd (automatische validatie),255
2024-05-16,311014410,1,Blaasveld (Dg) (Antwerpen),27200,Wim Van den Bossche,40394,goedgekeurd (automatische validatie),255
2024-05-16,311014285,2  baltsend / zingend,Blaasveld (Dg) (Antwerpen),27200,Wim Van den Bossche,40394,goedgekeurd (automatische validatie),255
2024-05-16,310553384,1,Willebroek - Broek Denaeyer (Groendomein provincie Antwerpen - regio Mechelen) (Antwerpen),29065,Wim Van den Bossche,40394,goedgekeurd (automatische validatie),255
2024-05-16,310537736,1,Willebroek (Antwerpen),23354,Wim Van den Bossche,40394,goedgekeurd (automatische validatie),255
2024-05-16,309900951,"2  adult, gezien en gehoord",Blaasveld (Dg) (Antwerpen),27200,Ivan Roels,141268,goedgekeurd (automatische validatie),255
2024-05-16,309787763,"1  adult zomerkleed, alarmerend, gezien en gehoord",Boussoit (Hainaut),41978,Degossely Philippe,56425,goedgekeurd (automatische validatie),255
2024-05-15 21:02,309747638,1,Menen (West-Vlaanderen),24094,wim 79,865085,goedgekeurd (automatische validatie),256
2024-05-15 19:30,310524005,2  overvliegend,Willebroek (Antwerpen),23354,Wim Van den Bossche,40394,onbekend,256
2024-05-15 18:28,309721909,"5  adult, opvliegend, gezien en gehoord",Sint-Katherina-Lombeek (Dg) (Vlaams-Brabant),23247,Francis Vanvaerenbergh,52042,goedgekeurd (automatische validatie),256
