location_name,location_id,province,province_id,municipality,municipality_id,location_type,page
Ancienne Carrière de l'Eau Bleue (La Bruyère),179326,Namur,24,La Bruyère (entité),43826,Gebied,11
Ancienne carrière de Pontaury (Mettet),672658,Namur,24,Mettet (entité),43895,Gebied,11
Ancienne Carrière de Vierset-Barse (Modave),179515,Liège,22,Modave (entité),43843,Gebied,11
Ancienne Carrière des Awirs (Flémalle; Engis),179081,Liège,22,Engis (entité),43813,Gebied,11
Ancienne carrière des Fermes,241481,Luxembourg,26,Saint-Hubert (entité),43939,Gebied,11
Ancienne carrière des Haies Germaines,241293,Hainaut,23,Charleroi (entité),43858,Gebied,12
Ancienne carrière des Vaux (Cerfontaine),179545,Namur,24,Cerfontaine (entité),43924,Gebied,12
Ancienne Carrière des Vaux (réserve naturelle),107969,Namur,24,Cerfontaine (entité),43924,Gebied,12
Ancienne carrière d'Evieux,241371,Liège,22,Esneux (entité),43817,Gebied,12
Ancienne Carrière d'Herbois (Yvoir),179546,Namur,24,Yvoir (entité),43901,Gebied,12
Ancienne carrière d'Ogne,241212,Liège,22,Sprimont (entité),43830,Gebied,12
Ancienne carrière du Craya,241573,Namur,24,Ciney (entité),43908,Gebied,12
Ancienne carrière du Kolvenderbach,241668,Liège,22,Amel / Amblève (entité),43886,Gebied,12
Ancienne carrière du Lion (Couvin),179429,Namur,24,Couvin (entité),43932,Gebied,12
Ancienne carrière du Revers de Grand Mont (Viroinval),241640,Namur,24,Viroinval (entité),43937,Gebied,12
Ancienne carrière Dumont-Wautier / Carrière d'Ampsin (réserve naturelle),84134,Liège,22,Amay (entité),43815,Gebied,12
Ancienne carrière Frêneu,241372,Liège,22,Trois-Ponts (entité),43890,Gebied,12
Ancienne carrière Gauthier,241411,Hainaut,23,Soignies (entité),43797,Gebied,12
